Rank	Feature	Model	Style	Band/Index
1	Lowest6MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
2	Lowest3MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
3	Greenest6MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
4	Lowest8MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
5	Greenest8MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
6	Warmest8MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
7	BandReflMedian-Band_1	C6-Modis_Legacy	MODIS	Band_1
8	BandReflMedian-Band_3	C6-Modis_Legacy	MODIS	Band_3
9	Greenest6MeanBandRefl-Band_7	C6-Modis_Legacy	MODIS	Band_7
10	Lowest8MeanBandRefl-Band_7	C6-Modis_Legacy	MODIS	Band_7
11	BandReflMedian-Band_4	C6-Modis_Legacy	MODIS	Band_4
12	TempMeanWarmest3	C6-Modis_Legacy	MODIS	Band31
13	Warmest6MeanBandRefl-Band_1	C6-Modis_Legacy	MODIS	Band_1
14	Greenest6MeanBandRefl-NDVI	C6-Modis_Legacy	MODIS	NDVI
15	Greenest3MeanBandRefl-NDVI	C6-Modis_Legacy	MODIS	NDVI
16	BandReflMedianGreenness-NDVI	C6-Modis_Legacy	MODIS	NDVI
17	Greenest8MeanBandRefl-NDVI	C6-Modis_Legacy	MODIS	NDVI
18	BandReflMedian-NDVI	C6-Modis_Legacy	MODIS	NDVI
19	Lowest6MeanBandRefl-Band_4	C6-Modis_Legacy	MODIS	Band_4
20	TempMeanGreenest3	C6-Modis_Legacy	MODIS	Band31
21	Lowest3MeanBandRefl-Band_4	C6-Modis_Legacy	MODIS	Band_4
22	Lowest3MeanBandRefl-Band_7	C6-Modis_Legacy	MODIS	Band_7
23	Greenest8MeanBandRefl-Band_7	C6-Modis_Legacy	MODIS	Band_7
24	BandReflMedian-Band_7	C6-Modis_Legacy	MODIS	Band_7
25	Warmest6MeanBandRefl-Band_4	C6-Modis_Legacy	MODIS	Band_4
26	Lowest6MeanBandRefl-Band_7	C6-Modis_Legacy	MODIS	Band_7
27	Lowest6MeanBandRefl-Band_3	C6-Modis_Legacy	MODIS	Band_3
28	Greenest3MeanBandRefl-Band_4	C6-Modis_Legacy	MODIS	Band_4
29	Greenest6MeanBandRefl-Band_3	C6-Modis_Legacy	MODIS	Band_3
30	Greenest3MeanBandRefl-Band_7	C6-Modis_Legacy	MODIS	Band_7
1	PACEIndex-CCI-HighChlorophyll3Mean	XGBoost_Legacy	PACE	CCI
2	PACEIndex-REIP-Amp	XGBoost_Legacy	PACE	REIP
3	PACEIndex-REIP-AmpAnthocyanin	XGBoost_Legacy	PACE	REIP
4	PACEIndex-PRI-Greenest3Mean	XGBoost_Legacy	PACE	PRI
5	Coolest3MeanBandRefl-Band31	XGBoost_Legacy	MODIS	Band31
6	Snow-CompositeCount	XGBoost_Legacy	MODIS	Snow
7	PACEIndex-NDII-Median	XGBoost_Legacy	PACE	NDII
8	PACEIndex-REIP-Max	XGBoost_Legacy	PACE	REIP
9	Lowest6MeanBandRefl-Band_3	XGBoost_Legacy	MODIS	Band_3
10	BandReflMin-Band31	XGBoost_Legacy	MODIS	Band31
11	Warmest6MeanBandRefl-Band31	XGBoost_Legacy	MODIS	Band31
12	Phenology-GSL-gt-03	XGBoost_Legacy	PACE	GSL
13	PACEIndex-REP-Mean	XGBoost_Legacy	PACE	REP
14	Warmest8MeanBandRefl-Band31	XGBoost_Legacy	MODIS	Band31
15	PACEIndex-REP-Greenest3Mean	XGBoost_Legacy	PACE	REP
16	PACEIndex-EVI-LowAnthocyanin3Mean	XGBoost_Legacy	PACE	EVI
17	PACEIndex-PRI-LeastStressed3Mean	XGBoost_Legacy	PACE	PRI
18	PACEIndex-CCI-LeastStressed3Mean	XGBoost_Legacy	PACE	CCI
19	PACEIndex-EVI-MostStressed3Mean	XGBoost_Legacy	PACE	EVI
20	PACEIndex-REIP-Greenest3Mean	XGBoost_Legacy	PACE	REIP
21	Phenology-GSL-gt-04	XGBoost_Legacy	PACE	GSL
22	PACEIndex-NDII-HighAnthocyanin3Mean	XGBoost_Legacy	PACE	NDII
23	PACEIndex-PRI-Median	XGBoost_Legacy	PACE	PRI
24	Warmest3MeanBandRefl-Band_6	XGBoost_Legacy	MODIS	Band_6
25	Warmest3MeanBandRefl-Band_5	XGBoost_Legacy	MODIS	Band_5
26	PACEIndex-EVI-HighChlorophyll3Mean	XGBoost_Legacy	PACE	EVI
27	PACEIndex-MTCI-AtGreenUp	XGBoost_Legacy	PACE	MTCI
28	BandReflMedianTemp-Band_7	XGBoost_Legacy	MODIS	Band_7
29	SnowFree-NDVI-Median	XGBoost_Legacy	MODIS	NDVI
30	PACEIndex-CIRE-Min	XGBoost_Legacy	PACE	CIRE
31	PACEIndex-CIRE-AtGreenUp	XGBoost_Legacy	PACE	CIRE
32	PACEIndex-EVI-AtGreenUp	XGBoost_Legacy	PACE	EVI
33	PACEIndex-CIRE-HighAnthocyanin3Mean	XGBoost_Legacy	PACE	CIRE
34	Lowest3MeanBandRefl-Band_1	XGBoost_Legacy	MODIS	Band_1
35	PACEIndex-PRI-HighChlorophyll3Mean	XGBoost_Legacy	PACE	PRI
36	PACEIndex-NDRE-Median	XGBoost_Legacy	PACE	NDRE
37	PACEIndex-CIRE-Brownest3Mean	XGBoost_Legacy	PACE	CIRE
38	Phenology-IntegratedNDVI	XGBoost_Legacy	PACE	NDVI
39	PACEIndex-NDII-AtGreenUp	XGBoost_Legacy	PACE	NDII
40	PACEIndex-CIRE-AtMinNDVI	XGBoost_Legacy	PACE	CIRE
41	Warmest3MeanBandRefl-Band_2	XGBoost_Legacy	MODIS	Band_2
42	PACEIndex-NDII-Greenest3Mean	XGBoost_Legacy	PACE	NDII
43	PACEIndex-NDRE-MostStressed3Mean	XGBoost_Legacy	PACE	NDRE
